2019 07;;;;;;;;;;;
026;Savanorių pr. 346 SAVAS;Kaunas ;LT-49428;+370 37 730 967;026@drogas.lt;;2;;;2;1
027;Lietuvininkų  g. 39;Šilutė;LT-99134;+370 441 75343;027@drogas.lt;;2;;;2;1
028;Žemaitijos g. 45;Mažeikiai;LT-89132;+370 443 20176;028@drogas.lt;;2;;;2;1
029;Taikos pr. 139 BIG;Klaipėda;LT-94284;+370 46 360256;029@drogas.lt;;2;;;2;1
030;Gedimino g.  31B;Radviliškis;LT-82174;+370 422 61057;030@drogas.lt;;2;;;2;1
032;Jasinskio g. 16;Vilnius;LT-01112;+370 5 2546707;032@drogas.lt;;2;;;2;1
033;S. Dariaus ir S. Girėno g. 22;Tauragė;LT-72251;+370 446 51513;033@drogas.lt;;2;;;2;1
034;Naujoji g. 48a;Alytus;LT-62381;+370 315 21834;034@drogas.lt;;2;;;2;1
035;Islandijos pl. 32 MEGA;Kaunas;LT-47446;+370 37 239077;035@drogas.lt;;;2;;2;1
036;Taikos pr. 61 AKROPOLIS;Klaipėda;LT-91182;+370 46 240332;036@drogas.lt;;2;;;2;1
038;Kauno g. 7;Ukmergė;LT-20130;+370 340 52056;038@drogas.lt;;2;;;2;1
039;Ukmergės g. 369 BIG;Vilnius;LT-06327;+370 5 2455320;039@drogas.lt;;2;;;2;1
040;Tilžės g. 109 SAULES MIESTAS;Šiauliai;LT-77159;+370 41 421879;040@drogas.lt;;2;1;;3;1
041;Kudirkos g. 3 MAXIMA;Marijampolė;LT-68176;+ 370 343 29410;041@drogas.lt;;2;;;2;1
042;Klaipėdos g. 92 MAXIMA;Panevėžys;LT-37383;+ 370 45 442731;042@drogas.lt;;2;;;2;1
043;Karaliaus Mindaugo pr. 49 AKROPOLIS;Kaunas;LT-44333;+ 370 37 209305;043@drogas.lt;;;2;;2;1
044;Klaipėdos g. 143a BABILONAS 2;Panevėžys;LT-37101;+370 45 515 241;044@drogas.lt;;2;;;2;1
046;Rungos g. 4  MAXIMA;Elektrėnai;LT-26109;+370 528 66209;046@drogas.lt;;2;;;2;1
048;Sausio 13-osios g. 2 MAXIMA;Vilnius;LT-3048;+370 5 2415055;048@drogas.lt;;;2;;2;1
049;Ozo g. 25, AKROPOLIS;Vilnius;LT-3049;+370 5 2619111;049@drogas.lt;;;2;;2;1
050;Senamiesčio a. 7;Plungė;LT-3050;+370 44 872144;050@drogas.lt;;2;;;2;1
051;Veteranų g. 2;Visaginas;LT-3051; 370 38 645446;051@drogas.lt;;2;;;2;1
052;Ozo g. 18, OZAS;Vilnius;LT-08243;+370 5 2406042;052@drogas.lt;;2;;;2;1
053;Pilies g. 36;Vilnius;LT-01123;+370 5 2609632;053@drogas.lt;;2;;;2;1
054;Aido g.8, AKROPOLIS;Šiauliai;LT-78322;+370 414 16064;054@drogas.lt;;2;;;2;1
55;Saltoniškių g. 9, PANORAMA;Vilnius;LT-3055;+370 5 2500153;055@drogas.lt;;2;;;2;1
056;Šeškinės g. 30;Vilnius;LT-07157;+37052400529;056@drogas.lt;;2;;;2;1
057;Santaikos g. 34G, MAXIMA;Alytus;LT-62123 ;+37031549990;057@drogas.lt;;2;;;2;1
058;Pramonės pr. 6, PRISMA;Kaunas;LT-51267;+37037200582;058@drogas.lt;;2;;;2;1
059;Ateities g. 91, MANDARINAS;Vilnius;LT-06324;+37052305848;059@drogas.lt;;2;;;2;1
061;Gedimino pr. 26;Vilnius;LT-01104;+37052710178;060@drogas.lt;;2;;;2;1
062;M. K. Čiurlionio g. 103 ;Druskininkai;LT-66161;+37031342062;062@drogas.lt;;;2;;2;1
063;Basanavičiaus , Kėdainiai;;;;;;;2;;2;1
999;Šeimyniškių g. 3, LT-09312, Vilnius (office);;;;;;5;5;;10;2
;;;;;;;84;34;0;118;56
;;;;;;;;;;;
;;;;;1 package = 500 sheets;;42000;17000;0;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
